messier_num,NGC_num,name,type,constellation,RA,Dec,distance,magnitude,angle
M1,1952,かに星雲,超新星残骸,おうし,05 : 34.5,+22 : 01,6.3,8.4,"6,4"
M2,7089,,球状星団,みずがめ,21 : 33.5,-00 : 49,37.5,6.5,16
M3,5272,,球状星団,りょうけん,13 : 42.2,+28 : 23,33.9,6.2,18
M4,6121,,球状星団,さそり,16 : 23.6,-26 : 32,7.2,5.6,36
M5,5904,,球状星団,へび,15 : 18.6,+02 : 05,24.5,5.6,23
M6,6405,,散開星団,さそり,17 : 40.1,-32 : 13,1.6,4.2,25
M7,6475,,散開星団,さそり,17 : 53.9,-34 : 49,0.8,3.3,80
M8,6523,干潟星雲,散光星雲,いて,18 : 03.8,-24 : 23,5.2,6,"90,40"
M9,6333,,球状星団,へびつかい,17 : 19.2,-18 : 31,25.8,7.7,12
M10,6254,,球状星団,へびつかい,16 : 57.1,-04 : 06,14.3,6.6,20
M11,6705,,散開星団,たて,18 : 51.1,-06 : 16,6,6.3,14
M12,6218,,球状星団,へびつかい,16 : 47.2,-01 : 57,16,6.7,16
M13,6205,,球状星団,ヘルクレス,16 : 41.7,+36 : 28,25.1,5.8,20
M14,6402,,球状星団,へびつかい,17:37.5,-03 : 15,30.3,7.6,11
M15,7078,,球状星団,ペガサス,21 : 30.0,+12 : 10,33.6,6.2,18
M16,6611,わし星雲,散光星雲・散開星団,へび,18 : 18.8,-13 : 47,7,6.4,7
M17,6618,オメガ星雲,散光星雲,いて,18 : 20.8,-16 : 11,5,6,11
M18,6613,,散開星団,いて,18 : 19.9,-17 : 08,4.9,7.5,9
M19,6273,,球状星団,へびつかい,17 : 02.6,-26 : 16,28,6.8,17
M20,6514,三裂星雲,散光星雲,いて,18 : 02.6,-23 : 02,5.2,9,28
M21,6531,,散開星団,いて,18 : 04.6,-22 : 30,4.25,6.5,13
M22,6656,,球状星団,いて,18 : 36.4,-23 : 54,10.4,5.1,32
M23,6494,,散開星団,いて,17 : 56.8,-19 : 01,2.15,6.9,27
M24,6603,,散開星団,いて,18 : 16.9,-18 : 29,10,4.6,90
M25,,,散開星団,いて,18 : 31.6,-19 : 15,2,4.6,32
M26,6694,,散開星団,たて,18 : 45.2,-09 : 24,5,8,15
M27,6853,亜鈴状星雲,惑星状星雲,こぎつね,19 : 59.6,+22 : 43,1.25,7.4,"8,5.7"
M28,6626,,球状星団,いて,18 : 24.5,-24 : 52,18.3,6.8,11.2
M29,6913,,散開星団,はくちょう,20 : 23.9,+38 : 32,4,7.1,7
M30,7099,,球状星団,やぎ,21 : 40.4,-23 : 11,26.1,7.2,12
M31,224,アンドロメダ銀河,渦巻銀河,アンドロメダ,00 : 42.7,+41 : 16,2900,3.4,"178,63"
M32,221,,小型楕円銀河,アンドロメダ,00 : 42.7,+40 : 52,2900,8.1,"8,6"
M33,598,さんかく座銀河,渦巻銀河,さんかく,01 : 33.9,+30 : 39,3000,5.7,"73,45"
M34,1039,,散開星団,ペルセウス,02 : 42.0,+42 : 47,1.4,5.5,35
M35,2168,,散開星団,ふたご,06 : 08.9,+24 : 20,2.8,5.3,28
M36,1960,,散開星団,ぎょしゃ,05 : 36.1,+34 : 08,4.1,6.3,12
M37,2099,,散開星団,ぎょしゃ,05 : 52.4,+32 : 33,4.4,6.2,24
M38,1912,,散開星団,ぎょしゃ,05 : 28.4,+35 : 50,4.2,7.4,21
M39,7092,,散開星団,はくちょう,21 : 32.2,+48 : 26,0.825,4.6,32
M40,,ウィンネッケ4,二重星,おおぐま,12 : 22.4,+58 : 05,1.14,8.4,0.8
M41,2287,,散開星団,おおいぬ,06 : 46.0,-20 : 44,2.3,4.6,38
M42,1976,オリオン大星雲,散光星雲,オリオン,05 : 35.4,-05 : 27,1.35,4,"85,60"
M43,1982,,散光星雲,オリオン,05 : 35.6,-05 : 16,1.35,9,"20,15"
M44,2632,プレセペ星団,散開星団,かに,08 : 40.1,+19 : 59,0.58,3.7,95
M45,,プレアデス星団(すばる),散開星団,おうし,03 : 47.0,+24 : 07,0.44,1.6,110
M46,2437,,散開星団,とも,07 : 41.8,-14 : 49,5.4,6,27
M47,2422,,散開星団,とも,07 : 36.6,-14 : 30,1.6,5.2,30
M48,2548,,散開星団,うみへび,08 : 13.8,-05 : 48,1.5,5.5,54
M49,4472,,楕円銀河,おとめ,12 : 29.8,+08 : 00,60000,8.4,"9,7.5"
M50,2323,,散開星団,いっかくじゅう,07 : 03.2,-08 : 20,3.2,5.9,16
M51,5194・5195,子持ち銀河,渦巻銀河,りょうけん,13 : 29.9,+47 : 12,37000,8.4,"11,7"
M52,7654,,散開星団,カシオペヤ,23 : 24.2,+61 : 35,5,7.3,13
M53,5024,,球状星団,かみのけ,13 : 12.9,+18 : 10,58,7.6,13
M54,6715,,球状星団,いて,18 : 55.1,-30 : 29,87.4,7.6,12
M55,6809,,球状星団,いて,19 : 40.0,-30 : 58,17.3,6.3,19
M56,6779,,球状星団,こと,19 : 16.6,+30 : 11,32.9,8.3,8.8
M57,6720,環状星雲,惑星状星雲,こと,18 : 53.6,+33 : 02,2.3,8.8,"1.4,1"
M58,4579,,渦巻銀河,おとめ,12 : 37.7,+11 : 49,60000,9.7,"5.5,4.5"
M59,4621,,楕円銀河,おとめ,12 : 42.0,+11 : 39,60000,9.6,"5,3.5"
M60,4649,,楕円銀河,おとめ,12 : 43.7,+11 : 33,60000,8.8,"7,6"
M61,4303,,渦巻銀河,おとめ,12 : 21.9,+04 : 28,60000,9.7,"6,5.5"
M62,6266,,球状星団,へびつかい,17 : 01.2,-30 : 07,22.5,6.5,15
M63,5055,ひまわり銀河,渦巻銀河,りょうけん,13 : 15.8,+42 : 02,37000,8.6,"10,6"
M64,4826,黒眼銀河,渦巻銀河,かみのけ,12 : 56.7,+21 : 41,19000,8.5,"9.3,5.4"
M65,3623,,渦巻銀河,しし,11 : 18.9,+13 : 05,35000,9.3,"8,1.5"
M66,3627,,渦巻銀河,しし,11 : 20.2,+12 : 59,35000,8.9,"8,2.5"
M67,2682,,散開星団,かに,08 : 50.4,+11 : 49,2.7,6.1,30
M68,4590,,球状星団,うみへび,12 : 39.5,-26 : 45,33.3,7.8,11
M69,6637,,球状星団,いて,18 : 31.4,-32 : 21,29.7,7.6,9.8
M70,6681,,球状星団,いて,18 : 43.2,-32 : 18,29.3,7.9,8
M71,6838,,球状星団,や,19 : 53.8,+18 : 47,13,8.2,7.2
M72,6981,,球状星団,みずがめ,20 : 53.5,-12 : 32,55.4,9.3,6.6
M73,6994,,星群,みずがめ,20 : 58.9,-12 : 38,2.5,9,2.8
M74,628,,渦巻銀河,うお,01 : 36.7,+15 : 47,35000,9.4,"10.2,9.5"
M75,6864,,球状星団,いて,20 : 06.1,-21 : 55,67.5,8.5,6.8
M76,650・651,小亜鈴状星雲,惑星状星雲,ペルセウス,01 : 42.4,+51 : 34,2.5,10.1,"2.7,1.8"
M77,1068,,渦巻銀河,くじら,02 : 42.7,-00 : 01,60000,8.9,"7,6"
M78,2068,,散光星雲,オリオン,05 : 46.7,+00 : 03,1.35,8.3,"8,6"
M79,1904,,球状星団,うさぎ,05 : 24.5,-24 : 33,42.1,7.7,9.6
M80,6093,,球状星団,さそり,16 : 17.0,-22 : 59,32.6,7.3,10
M81,3031,,渦巻銀河,おおぐま,09 : 55.6,+69 : 04,12000,6.9,"21,10"
M82,3034,葉巻銀河,不規則銀河,おおぐま,09 : 55.8,+69 : 41,12000,8.4,"9,4"
M83,5236,南の回転花火銀河,渦巻銀河,うみへび,13 : 37.0,-29 : 52,15000,7.6,"11,10"
M84,4374,,レンズ状銀河,おとめ,12 : 25.1,+12 : 53,60000,9.1,5
M85,4382,,レンズ状銀河,かみのけ,12 : 25.4,+18 : 11,60000,9.1,"7.1,5.2"
M86,4406,,レンズ状銀河,おとめ,12 : 26.2,+12 : 57,60000,8.9,"7.5,5.5"
M87,4486,おとめ座A,楕円銀河,おとめ,12 : 30.8,+12 : 24,60000,8.6,7
M88,4501,,渦巻銀河,かみのけ,12 : 32.0,+14 : 25,60000,9.6,"7,4"
M89,4552,,楕円銀河,おとめ,12 : 35.7,+12 : 33,60000,9.8,4
M90,4569,,渦巻銀河,おとめ,12 : 36.8,+13 : 10,60000,9.5,"9.5,4.5"
M91,4548,,渦巻銀河,かみのけ,12 : 35.4,+14 : 30,60000,10.2,"5.4,4.4"
M92,6341,,球状星団,ヘルクレス,17 : 17.1,+43 : 08,26.7,6.4,14
M93,2447,,散開星団,とも,07 : 44.6,-23 : 52,3.6,6,22
M94,4736,,渦巻銀河,りょうけん,12 : 50.9,+41 : 07,14500,8.2,"7,3"
M95,3351,,渦巻銀河,しし,10 : 44.0,+11 : 42,38000,9.7,"4.4,3.3"
M96,3368,,渦巻銀河,しし,10 : 46.8,+11 : 49,38000,9.2,"6,4"
M97,3587,ふくろう星雲,惑星状星雲,おおぐま,11 : 14.8,+55 : 01,2.6,9.9,"3.4,3.3"
M98,4192,,渦巻銀河,かみのけ,12 : 13.8,+14 : 54,60000,10.1,"9.5,3.2"
M99,4254,,渦巻銀河,かみのけ,12 : 18.8,+14 : 25,60000,9.9,"5.4,4.8"
M100,4321,,渦巻銀河,かみのけ,12 : 22.9,+15 : 49,60000,9.3,"7,6"
M101,5457,回転花火銀河(風車銀河),渦巻銀河,おおぐま,14 : 03.2,+54 : 21,27000,7.9,22
M102,5866,,渦巻銀河,りゅう,15 : 06.5,+55 : 46,45000,9.9,"5.2,2.3"
M103,581,,散開星団,カシオペヤ,01 : 33.2,+60 : 42,8.5,7.4,6
M104,4594,ソンブレロ銀河,渦巻銀河,おとめ,12 : 40.0,-11 : 37,50000,8,"9,4"
M105,3379,,楕円銀河,しし,12 : 40.0,-11 : 37,38000,9.3,2
M106,4258,,渦巻銀河,りょうけん,12 : 19.0,+47 : 18,25000,8.4,"19,8"
M107,6171,,球状星団,へびつかい,16 : 32.5,-13 : 03,20.9,7.9,13
M108,3556,,渦巻銀河,おおぐま,11 : 11.5,+55 : 40,45000,10,"8,1"
M109,3992,,渦巻銀河,おおぐま,11 : 57.6,+53 : 23,55000,9.8,"7,4"
M110,205,,楕円銀河,アンドロメダ,00 : 40.4,+41 : 41,2900,8.5,"17,10"
